iso3,iso2,name,capital,continent,region,income_level,year,population,gdp,inflation,female_population,life_expectancy,poverty,fertility,hospital_beds_1000,physicians_1000,maternal_death_risk,suicides_100k,health_expenditure_share,infant_mortality_1000,renewables_share,co2_capita,greenhousegas_capita
MLI,ML,Mali,Bamako,Africa,Sub-Saharan Africa ,Low income,1986,8334588.0,,-0.138300097115064,4152492.0,43.977,,7.244,,,,,,130.3,,,
AUS,AU,Australia,Canberra,Oceania,East Asia & Pacific,High income,1992,17478635.0,319061258640.054,1.47889530805433,8771556.0,77.3780487804878,,1.888,8.8999996185,2.3825,,,,6.7,10.066865251436,15.3539735797446,492143.4511
CPV,CV,Cabo Verde,Praia,Africa,Sub-Saharan Africa ,Lower middle income,1984,335473.0,,8.7665938941019,176809.0,61.661,,5.97,,,,,,60.9,,,
HND,HN,Honduras,Tegucigalpa,Americas,Latin America & Caribbean ,Lower middle income,1992,5344774.0,11014750163.1492,3.67417388031402,2645110.0,65.991,27.0,5.089,,,,,,41.7,93.5552710200597,0.511565128852969,11759.80347
AUS,AU,Australia,Canberra,Oceania,East Asia & Pacific,High income,2003,19720737.0,593718240977.294,2.96793754610954,9933517.0,80.2390243902439,1.0,1.748,3.97,2.6406,0.0095760497394588,16.2,7.88292599,4.9,8.44069886574851,17.8945391341105,550563.2058
PER,PE,Peru,Lima,Americas,Latin America & Caribbean ,Upper middle income,2015,30711863.0,352617166513.571,2.69052090074331,15496198.0,75.621,4.7,2.338,1.55,,0.156850289033839,4.0,4.98142099,12.8,52.7305133572361,1.7763005780535,96579.81659
GBR,GB,United Kingdom,London,Europe,Europe & Central Asia,High income,2018,66460344.0,3137074423379.49,1.73785288253913,33662065.0,81.2560975609756,0.5,1.68,2.5,2.8044,0.0160080498673089,12.2,9.65815544,3.8,,5.42512840439105,455529.9423
BLZ,BZ,Belize,Belmopan,Americas,Latin America & Caribbean ,Upper middle income,2011,329538.0,3160971609.68865,4.76982234812762,164408.0,72.651,,2.585,1.09,,0.103570356120649,11.7,5.69136333,15.7,62.941598469924,1.74001177405944,1305.203154
MDV,MV,Maldives,Male,Asia,South Asia,Upper middle income,1980,164887.0,,,77584.0,55.621,,7.174,,,,,,103.8,,,
ARG,AR,Argentina,Buenos Aires,Americas,Latin America & Caribbean ,Upper middle income,2003,38278164.0,420076980476.696,10.4957030215496,19398462.0,74.08,5.3,2.451,,,0.216860190855361,15.9,6.89451647,15.8,37.9517548625448,3.33489087930132,306433.5855
PLW,PW,Palau,Koror,Oceania,East Asia & Pacific,Upper middle income,2019,17916.0,328802803.49165,-2.4921024921025,8537.0,,,,,,,,15.71146011,16.2,,12.1344050011163,252.704186
TZA,TZ,Tanzania,Dodoma,Africa,Sub-Saharan Africa ,Lower middle income,2010,45110527.0,89932580946.8509,9.42871624976745,22934464.0,60.105,,5.293,0.7,,2.69226684211918,7.2,5.22392178,47.1,51.6875237011756,0.15317710653214,65992.51273
TON,TO,Tonga,Nuku'alofa,Oceania,East Asia & Pacific,Upper middle income,1998,101343.0,329127831.627842,2.66045054281693,49797.0,68.642,,4.328,,,,,,15.3,0.0,0.936423827990093,235.584326
CHL,CL,Chile,Santiago,Americas,Latin America & Caribbean ,High income,2020,19300315.0,481373693688.231,9.6374136550188,9720358.0,79.377,0.7,1.537,,2.8351,0.0260832217098412,,9.75300503,5.9,,4.39515106359663,106722.3342
